player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,RS,TOR,500,245,-1.736784131977067,.0489118296048553,-1.687872302372212,1.061346392086982,-4.630995950827303,-3.569649558740321,-1.2744282257894,-.9396393680402377,-2.214067593829638,.0661797190052003,.0661797190052003,0,-1.077203982957523,-1.31984766241094,-2.397051645368463,-1.226450803902621
Steven Adams,adamsst01,2023,RS,MEM,1173,568,-2.22452962184709,2.962856629095931,.7383270072488406,3.301635146194092,.2617803742801426,3.563415520474234,-1.216082788633172,2.575794783158255,1.359711994525083,1.187453957683565,1.187453957683565,0,-1.510271964335795,2.931520448825254,1.421248484489459,-.2988292834910478
Bam Adebayo,adebaba01,2023,RS,MIA,1496,734,-1.978376757536494,2.907165481055329,.928788723518835,3.041979319733589,3.359418308193913,6.401397627927501,-1.004748775854823,3.150860117271788,2.146111341416964,1.823733270423839,1.823733270423839,0,-.4794402859552199,3.60197089533012,3.122530609374901,-.5410525852858225
Ochai Agbaji,agbajoc01,2023,RS,UTA,160,72,-5.106845764310377,3.623095069322471,-1.483750694987905,-10.79790801512569,7.989046908645989,-2.8088611064797,-6.653077543977542,4.772448093404692,-1.88062945057285,.0319498295992717,.0319498295992717,0,-7.299493084960449,1.171910069482268,-6.127583015478182,.0444717489265709
Santi Aldama,aldamsa01,2023,RS,MEM,1169,548,-.8392076765289823,.5972692006274862,-.2419384759014961,-1.36474298934645,.2332622249175253,-1.131480764428925,-1.008666345455455,.5568451203424017,-.4518212251130534,.6459954821015419,.6459954821015419,0,-1.310973097164595,1.885668072062413,.5746949748978176,.5435320474666324
Nickeil Alexander-Walker,alexani01,2023,RS,UTA,343,158,-1.742461404493823,5.55038961142197,3.807928206928147,-6.832436924628082,5.485069529320319,-1.347367395307763,-2.960394037733747,5.891633321570011,2.931239283836264,.4630285545643708,.4630285545643708,0,-.9882063456461836,4.070307513039205,3.082101167393021,1.117758210914068
Grayson Allen,allengr01,2023,RS,MIL,1157,540,.6465702403243184,-.6711987215403324,-.024628481216014,.3118449928742381,6.170115751965101,6.481960744839339,.6313265069508386,.6625481872419541,1.293874694192793,1.121910277366385,1.121910277366385,0,.5247106842138174,.3580026953876503,.8827133796014677,.7081381290095272
Jarrett Allen,allenja01,2023,RS,CLE,1110,544,-2.195426276082271,2.528230475244615,.3328041991623438,1.196125532952094,5.602168925239303,6.798294458191396,-1.648037835812478,3.235977247627194,1.587939411814716,1.205370106572262,1.205370106572262,0,-.7569435890060542,3.005078501438303,2.248134912432248,.1160955441000024
Jose Alvarado,alvarjo01,2023,RS,NOP,1033,487,2.373803014188995,4.003303034147405,6.377106048336399,5.501251383929685,4.514585409006656,10.01583679293634,3.132698359331276,4.282381248203484,7.41507960753476,2.530675123399142,2.530675123399142,0,2.476244962692588,3.590632674419273,6.066877637111861,.199850236741529
Kyle Anderson,anderky01,2023,RS,MIN,869,398,-1.260939972901682,1.13139890746044,-.1295410654412421,7.211221144244178,-2.310763103494147,4.900458040750031,.4317491489435102,.5001054951119239,.9318546440554342,.7504968153296213,.7504968153296213,0,.1739283107683362,.0955427604433581,.2694710712116944,.3875230454316049
Giannis Antetokounmpo,antetgi01,2023,RS,MIL,1279,593,3.03033747738609,1.212259267664566,4.242596745050656,2.346301181428707,2.940296219909285,5.286597401337993,3.046775495744181,1.597139346363227,4.643914842107408,2.282050216316601,2.282050216316601,0,2.741077899031236,1.329808641684635,4.070886540715871,2.038616528763802
Thanasis Antetokounmpo,antetth01,2023,RS,MIL,92,43,-8.200040479728411,7.429939275310993,-.7701012044174185,-4.355376745774948,1.649353891672346,-2.706022854102602,-7.880546051626009,6.613366227166679,-1.26717982445933,.0321523340793896,.0321523340793896,0,-9.094606463937346,1.467110029661827,-7.627496434275519,-1.178812630976083
Cole Anthony,anthoco01,2023,RS,ORL,411,198,2.791795146237698,2.041638785751283,4.833433931988981,-1.184374138391579,-.7635399538860715,-1.94791409227765,2.189396030222237,1.647999098349201,3.837395128571439,.6608224358604019,.6608224358604019,0,2.639741714736806,.9724296769072456,3.612171391644051,-.705156032207374
O.G. Anunoby,anunoog01,2023,RS,TOR,1718,834,-.7623754977098767,1.455472945774174,.6930974480642975,1.142416342361392,1.728085854096269,2.870502196457661,-.4138772674055618,1.604881470395787,1.191004202990225,1.675707433804176,1.675707433804176,0,.3963845643986897,2.374875391484812,2.771259955883501,-.0734752230993934
Ryan Arcidiacono,arcidry01,2023,RS,NYK,37,16,-7.8846916680565,5.057262328982369,-2.827429339074131,-7.89694779800401,19.51606228526413,11.61911448726012,-8.391124849820235,8.409999305225272,.0188744554050366,.0229005447090592,.0229005447090592,0,-3.951057979338525,4.28843072899022,.3373727496516947,1.333696441458875
Deni Avdija,avdijde01,2023,RS,WAS,1175,567,-3.223148087427662,1.202068218722833,-2.021079868704829,.0303852562282908,-2.86058629647667,-2.830201040248379,-2.736725388823472,.4425442417632855,-2.294181147060186,.1322333689686391,.1322333689686391,0,-2.254068368484276,.9137581002974448,-1.340310268186831,.2861186688065412
Deandre Ayton,aytonde01,2023,RS,PHO,1266,612,-.4989427390648682,-2.621922080081607,-3.120864819146475,-1.025060686542954,-1.519322565987269,-2.544383252530224,-.7176208958709362,-2.603823990610993,-3.321444886481929,-.1779724822258175,-.1779724822258175,0,-1.388466204679439,-1.747007674958058,-3.135473879637496,-.259290082916917
Udoka Azubuike,azubuud01,2023,RS,UTA,80,35,-1.694990536987258,9.943337015934839,8.24834647894758,-3.980163293636958,19.42321182549856,15.4430485318616,-2.318605847294036,12.52555341288599,10.20694756559195,.2325627877111943,.2325627877111943,0,-1.531203281785502,6.801308966969257,5.270105685183755,.5211143280264837
Marvin Bagley III,baglema01,2023,RS,DET,605,294,-1.169140569083552,.0514698191208861,-1.117670749962666,-1.456417061236443,-2.78521186375394,-4.241628924990383,-1.275721849187836,-.467873246005278,-1.743595095193114,.149374810286813,.149374810286813,0,-1.094196810854155,.0598795217608517,-1.034317289093304,-1.063111548705492
